,dataset,embedding_model,agg_method,similarity,edge constructor,clusterer,depth,connected_nodes,percentage_connected,degree_of_separation
234,medium1k,nomic,mean,soft_cosine,knn_mst70,gmm70,2.0,69.0,0.033,2.482700880562387
235,medium1k,nomic,mean,soft_cosine,knn_mst70,gmm70,3.0,1999.0,0.965,2.482700880562387
236,medium1k,nomic,mean,soft_cosine,threshold0.5,kmeans50,1.0,3.0,0.001,2.456335649036226
237,medium1k,nomic,mean,soft_cosine,threshold0.5,kmeans50,2.0,49.0,0.024,2.456335649036226
238,medium1k,nomic,mean,soft_cosine,threshold0.5,kmeans50,3.0,1997.0,0.974,2.456335649036226
239,medium1k,nomic,mean,soft_cosine,threshold0.5,kmeans70,1.0,2.0,0.001,2.4462561247877574
240,medium1k,nomic,mean,soft_cosine,threshold0.5,kmeans70,2.0,69.0,0.033,2.4462561247877574
241,medium1k,nomic,mean,soft_cosine,threshold0.5,kmeans70,3.0,1998.0,0.965,2.4462561247877574
242,medium1k,nomic,mean,soft_cosine,threshold0.5,gmm50,1.0,6.0,0.003,2.361876564082645
243,medium1k,nomic,mean,soft_cosine,threshold0.5,gmm50,2.0,49.0,0.024,2.361876564082645
244,medium1k,nomic,mean,soft_cosine,threshold0.5,gmm50,3.0,1991.0,0.971,2.361876564082645
245,medium1k,nomic,mean,soft_cosine,threshold0.5,gmm70,1.0,1.0,0.0,2.4261224552642466
246,medium1k,nomic,mean,soft_cosine,threshold0.5,gmm70,2.0,69.0,0.033,2.4261224552642466
247,medium1k,nomic,mean,soft_cosine,threshold0.5,gmm70,3.0,1999.0,0.965,2.4261224552642466
248,medium1k,nomic,mean,soft_cosine,threshold0.7,kmeans50,1.0,3.0,0.001,2.543816331015453
249,medium1k,nomic,mean,soft_cosine,threshold0.7,kmeans50,2.0,49.0,0.024,2.543816331015453
250,medium1k,nomic,mean,soft_cosine,threshold0.7,kmeans50,3.0,1997.0,0.974,2.543816331015453
251,medium1k,nomic,mean,soft_cosine,threshold0.7,kmeans70,1.0,2.0,0.001,2.566323992609978
252,medium1k,nomic,mean,soft_cosine,threshold0.7,kmeans70,2.0,69.0,0.033,2.566323992609978
253,medium1k,nomic,mean,soft_cosine,threshold0.7,kmeans70,3.0,1998.0,0.965,2.566323992609978
254,medium1k,nomic,mean,soft_cosine,threshold0.7,gmm50,1.0,6.0,0.003,2.4500667871090402
255,medium1k,nomic,mean,soft_cosine,threshold0.7,gmm50,2.0,49.0,0.024,2.4500667871090402
256,medium1k,nomic,mean,soft_cosine,threshold0.7,gmm50,3.0,1991.0,0.971,2.4500667871090402
257,medium1k,nomic,mean,soft_cosine,threshold0.7,gmm70,1.0,1.0,0.0,2.4416027857576097
258,medium1k,nomic,mean,soft_cosine,threshold0.7,gmm70,2.0,69.0,0.033,2.4416027857576097
259,medium1k,nomic,mean,soft_cosine,threshold0.7,gmm70,3.0,1999.0,0.965,2.4416027857576097
260,medium1k,nomic,mean,soft_cosine,threshold0.9,kmeans50,1.0,385.0,0.188,2.8079792732474194
261,medium1k,nomic,mean,soft_cosine,threshold0.9,kmeans50,2.0,554.0,0.27,2.8079792732474194
262,medium1k,nomic,mean,soft_cosine,threshold0.9,kmeans50,3.0,660.0,0.322,2.8079792732474194
263,medium1k,nomic,mean,soft_cosine,threshold0.9,kmeans70,1.0,381.0,0.184,2.6740347649971348
264,medium1k,nomic,mean,soft_cosine,threshold0.9,kmeans70,2.0,412.0,0.199,2.6740347649971348
265,medium1k,nomic,mean,soft_cosine,threshold0.9,kmeans70,3.0,844.0,0.408,2.6740347649971348
266,medium1k,nomic,mean,soft_cosine,threshold0.9,gmm50,1.0,379.0,0.185,2.9464807618280937
267,medium1k,nomic,mean,soft_cosine,threshold0.9,gmm50,2.0,479.0,0.234,2.9464807618280937
268,medium1k,nomic,mean,soft_cosine,threshold0.9,gmm50,3.0,646.0,0.315,2.9464807618280937
269,medium1k,nomic,mean,soft_cosine,threshold0.9,gmm70,1.0,444.0,0.214,2.639668446635046
